Test Year: 2014
Total: 985, Correct: 759, ExpRate: 77.06%
----------------------------------------
Image	Status	Prediction	GroundTruth
RIT_2014_29	CORRECT	- 7	- 7
513_em_320	CORRECT	k N	k N
20_em_42	CORRECT	1 7	1 7
507_em_75	CORRECT	[ b ]	[ b ]
501_em_3	CORRECT	k _ { e }	k _ { e }
20_em_30	CORRECT	I _ { S }	I _ { S }
502_em_0	CORRECT	6 3	6 3
RIT_2014_97	CORRECT	1 2	1 2
508_em_85	CORRECT	9 . 8	9 . 8
509_em_93	CORRECT	| S |	| S |
RIT_2014_45	CORRECT	| A |	| A |
29_em_159	CORRECT	1 8	1 8
513_em_313	CORRECT	P _ { 1 }	P _ { 1 }
RIT_2014_20	CORRECT	[ e ]	[ e ]
RIT_2014_57	CORRECT	1 9	1 9
519_em_445	CORRECT	N s	N s
513_em_306	CORRECT	R _ { f }	R _ { f }
RIT_2014_249	CORRECT	N - 1	N - 1
20_em_49	CORRECT	6 f t	6 f t
34_em_229	CORRECT	1 / t	1 / t
18_em_10	CORRECT	2 6	2 6
27_em_112	CORRECT	M _ { 3 }	M _ { 3 }
RIT_2014_95	CORRECT	2 0	2 0
RIT_2014_176	CORRECT	1 8 z	1 8 z
27_em_120	CORRECT	\sqrt { 1 5 }	\sqrt { 1 5 }
32_em_211	CORRECT	H _ { c l }	H _ { c l }
511_em_265	CORRECT	b _ { R }	b _ { R }
RIT_2014_139	CORRECT	M _ { 1 }	M _ { 1 }
516_em_386	CORRECT	\{ a \}	\{ a \}
26_em_78	CORRECT	1 6 9	1 6 9
RIT_2014_272	CORRECT	4 0	4 0
RIT_2014_13	CORRECT	[ P ]	[ P ]
512_em_296	CORRECT	k g	k g
511_em_257	CORRECT	H z	H z
514_em_336	CORRECT	d s	d s
512_em_278	CORRECT	\sqrt { 7 5 }	\sqrt { 7 5 }
32_em_208	CORRECT	b _ { u }	b _ { u }
RIT_2014_233	CORRECT	A ^ { T }	A ^ { T }
RIT_2014_284	CORRECT	- 3 9	- 3 9
32_em_217	CORRECT	\sqrt { - 1 }	\sqrt { - 1 }
517_em_404	CORRECT	P a	P a
RIT_2014_260	CORRECT	\beta \neq 0	\beta \neq 0
27_em_100	CORRECT	\sqrt { 4 5 }	\sqrt { 4 5 }
508_em_80	WRONG	M _ { 2 } M _ { 2 }	M _ { 2 }
23_em_52	CORRECT	2 p	2 p
27_em_115	CORRECT	7 \sqrt { 2 }	7 \sqrt { 2 }
502_em_18	WRONG	\sqrt [ 9 ] { 2 }	9 \sqrt { 2 }
RIT_2014_130	CORRECT	8 - 7	8 - 7
515_em_373	CORRECT	R _ { 1 }	R _ { 1 }
37_em_9	CORRECT	y < b	y < b
RIT_2014_112	CORRECT	s _ { 1 }	s _ { 1 }
RIT_2014_307	CORRECT	\sqrt { 9 8 }	\sqrt { 9 8 }
517_em_410	CORRECT	C ^ { \beta }	C ^ { \beta }
32_em_203	CORRECT	l - 1	l - 1
502_em_12	CORRECT	R _ { L }	R _ { L }
28_em_132	CORRECT	S / V	S / V
502_em_10	CORRECT	\beta = 1	\beta = 1
RIT_2014_59	CORRECT	F ^ { 3 }	F ^ { 3 }
28_em_147	CORRECT	[ B ]	[ B ]
32_em_223	CORRECT	( \pi )	( \pi )
510_em_105	CORRECT	\frac { 4 } { 3 }	\frac { 4 } { 3 }
31_em_187	CORRECT	5 0	5 0
501_em_23	CORRECT	\phi > 0	\phi > 0
37_em_3	CORRECT	t - 6	t - 6
RIT_2014_120	CORRECT	\sqrt { 6 7 }	\sqrt { 6 7 }
RIT_2014_122	CORRECT	1 8 z	1 8 z
RIT_2014_1	CORRECT	k < 1	k < 1
RIT_2014_299	CORRECT	8 9 7	8 9 7
37_em_6	WRONG	y ^ { ' } ( x )	y ^ { \prime } ( x )
34_em_235	CORRECT	1 - w	1 - w
28_em_138	CORRECT	R _ { 0 } ^ { 0 }	R _ { 0 } ^ { 0 }
RIT_2014_151	CORRECT	1 5 \pi	1 5 \pi
500_em_109	CORRECT	b _ { L }	b _ { L }
35_em_3	CORRECT	\beta ( F )	\beta ( F )
RIT_2014_155	CORRECT	y - z	y - z
RIT_2014_231	CORRECT	3 \sqrt { 7 }	3 \sqrt { 7 }
20_em_38	CORRECT	Y _ { t + 1 }	Y _ { t + 1 }
18_em_19	CORRECT	y \neq x	y \neq x
29_em_151	CORRECT	P a	P a
