Test Year: 2019
Total: 1199, Correct: 623, ExpRate: 51.96%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN19wb_1109_em_1008	WRONG	5 5	s s
UN19_1008_em_112	WRONG	T _ { r }	T r
ISICal19_1203_em_794	CORRECT	6 \sqrt { 3 }	6 \sqrt { 3 }
UN19_1001_em_0	CORRECT	A _ { i }	A _ { i }
UN19_1002_em_16	CORRECT	3 9	3 9
ISICal19_1203_em_793	WRONG	A _ { 0 }	A _ { o o }
UN19wb_1109_em_1016	CORRECT	n + n	n + n
ISICal19_1210_em_874	CORRECT	x + a	x + a
UN19_1022_em_300	CORRECT	\frac { 1 } { a }	\frac { 1 } { a }
UN19wb_1121_em_1190	CORRECT	n \geq 9	n \geq 9
ISICal19_1210_em_879	WRONG	( x y )	| x y |
UN19_1046_em_674	WRONG	E _ { \times p }	E x p
UN19wb_1109_em_1017	CORRECT	8 \times 7	8 \times 7
UN19_1001_em_6	CORRECT	\sum m ^ { 2 }	\sum m ^ { 2 }
UN19wb_1121_em_1196	CORRECT	8 \times 8	8 \times 8
UN19_1008_em_113	CORRECT	X - X	X - X
UN19wb_1107_em_983	WRONG	V _ { i }	B _ { i }
UN19wb_1121_em_1195	WRONG	\beta P X	\beta R R
UN19_1008_em_111	CORRECT	p \times p	p \times p
UN19_1025_em_350	CORRECT	x y z	x y z
UN19_1045_em_658	CORRECT	I I	I I
UN19wb_1110_em_1023	CORRECT	- x - a	- x - a
UN19wb_1121_em_1194	CORRECT	\frac { 1 4 9 } { 8 4 }	\frac { 1 4 9 } { 8 4 }
UN19_1046_em_670	WRONG	x 7 \geq 0	x \geq 0
UN19wb_1110_em_1030	WRONG	\cos 0 0	\cos o \sigma
UN19wb_1116_em_1112	CORRECT	\int R ^ { n }	\int R ^ { n }
ISICal19_1201_em_754	CORRECT	\sqrt { x ^ { 2 } }	\sqrt { x ^ { 2 } }
UN19wb_1111_em_1047	CORRECT	\frac { 9 5 } { 3 3 }	\frac { 9 5 } { 3 3 }
UN19_1023_em_322	WRONG	\alpha + C	a + c
ISICal19_1210_em_876	WRONG	\cos k x ^ { s }	\cos k _ { n } x ^ { 5 }
UN19_1001_em_2	CORRECT	x ^ { b } - y ^ { b }	x ^ { b } - y ^ { b }
UN19wb_1111_em_1043	CORRECT	\int d c	\int d c
UN19_1019_em_256	WRONG	d n y	a n y
UN19_1001_em_3	CORRECT	\frac { n } { 2 } + \frac { 1 } { 2 }	\frac { n } { 2 } + \frac { 1 } { 2 }
UN19wb_1106_em_971	CORRECT	\frac { 1 } { n ! }	\frac { 1 } { n ! }
UN19_1028_em_396	CORRECT	I R	I R
ISICal19_1210_em_881	WRONG	a = \sqrt { \frac { \beta } { 2 } }	a = \sqrt { \frac { \beta } { \alpha } }
ISICal19_1205_em_812	CORRECT	\cos n \sigma	\cos n \sigma
