Test Year: 2014
Total: 985, Correct: 0, ExpRate: 0.00%
----------------------------------------
Image	Status	Prediction	GroundTruth
RIT_2014_29	WRONG	- 1	- 7
513_em_320	WRONG	2 ^ { 2 }	k N
20_em_42	WRONG	- S	1 7
507_em_75	WRONG	2 ^ { 2 }	[ b ]
501_em_3	WRONG	\frac { 1 } { 3 }	k _ { e }
20_em_30	WRONG	\frac { j } { j }	I _ { S }
502_em_0	WRONG	a _ { 2 }	6 3
RIT_2014_97	WRONG	1 . 7	1 2
508_em_85	WRONG	2 ^ { 2 }	9 . 8
509_em_93	WRONG	2 ^ { 2 }	| S |
RIT_2014_45	WRONG	\frac { 1 } { 3 } \pi r ^ { 2 }	| A |
29_em_159	WRONG	2 ^ { 2 }	1 8
513_em_313	WRONG	\frac { j } { j }	P _ { 1 }
RIT_2014_20	WRONG	1 0 ^ { 2 }	[ e ]
RIT_2014_57	WRONG	2 ^ { 2 }	1 9
519_em_445	WRONG	a ^ { 2 }	N s
513_em_306	WRONG	\frac { 1 } { 2 }	R _ { f }
RIT_2014_249	WRONG	1 0 ^ { 2 }	N - 1
20_em_49	WRONG	a ^ { 2 } + b ^ { 2 }	6 f t
34_em_229	WRONG	\frac { 1 } { 3 }	1 / t
18_em_10	WRONG	\sqrt { 2 }	2 6
27_em_112	WRONG	1 0 ^ { 2 }	M _ { 3 }
RIT_2014_95	WRONG	2 ^ { 2 }	2 0
RIT_2014_176	WRONG	\sqrt { 2 ^ { 2 }	1 8 z
27_em_120	WRONG	\frac { 2 } { 3 }	\sqrt { 1 5 }
32_em_211	WRONG	\frac { 4 } { 3 } \pi r ^ { 2 }	H _ { c l }
511_em_265	WRONG	y ^ { 2 }	b _ { R }
RIT_2014_139	WRONG	y ^ { 2 }	M _ { 1 }
516_em_386	WRONG	1 0 ^ { 2 }	\{ a \}
26_em_78	WRONG	2 ^ { 2 }	1 6 9
RIT_2014_272	WRONG	1 0 ^ { 2 }	4 0
RIT_2014_13	WRONG	a ^ { 2 } \pi r ^ { 2 }	[ P ]
512_em_296	WRONG	\frac { 1 } { 3 }	k g
511_em_257	WRONG	\frac { 1 } { 3 } \pi r ^ { 2 }	H z
514_em_336	WRONG	a ^ { 2 }	d s
512_em_278	WRONG	\frac { 2 } { 3 }	\sqrt { 7 5 }
32_em_208	WRONG	y ^ { 2 }	b _ { u }
RIT_2014_233	WRONG	\frac { i } { i }	A ^ { T }
RIT_2014_284	WRONG	- c ^ { 2 }	- 3 9
32_em_217	WRONG	\sqrt { 2 }	\sqrt { - 1 }
517_em_404	WRONG	a _ { m }	P a
RIT_2014_260	WRONG	a ^ { 2 } + a ^ { 2 }	\beta \neq 0
27_em_100	WRONG	\frac { \pi r ^ { 2 } h } { 2 }	\sqrt { 4 5 }
508_em_80	WRONG	y ^ { 2 }	M _ { 2 }
23_em_52	WRONG	y ^ { 2 }	2 p
27_em_115	WRONG	1 0 ^ { 2 }	7 \sqrt { 2 }
502_em_18	WRONG	\sqrt { 2 }	9 \sqrt { 2 }
RIT_2014_130	WRONG	2 ^ { 2 }	8 - 7
515_em_373	WRONG	2 ^ { 2 }	R _ { 1 }
37_em_9	WRONG	1 0 ^ { 2 }	y < b
RIT_2014_112	WRONG	p ^ { j }	s _ { 1 }
RIT_2014_307	WRONG	\sqrt { 2 }	\sqrt { 9 8 }
517_em_410	WRONG	\frac { 1 } { 3 }	C ^ { \beta }
32_em_203	WRONG	x ^ { 2 }	l - 1
502_em_12	WRONG	\frac { 1 } { 2 }	R _ { L }
28_em_132	WRONG	1 0 ^ { 2 }	S / V
502_em_10	WRONG	x _ { 1 } = x _ { 2 }	\beta = 1
RIT_2014_59	WRONG	\frac { 1 } { 2 }	F ^ { 3 }
28_em_147	WRONG	1 0 ^ { 2 }	[ B ]
32_em_223	WRONG	\frac { \pi r ^ { 2 } h } { 3 }	( \pi )
510_em_105	WRONG	\frac { 1 } { 1 }	\frac { 4 } { 3 }
31_em_187	WRONG	\sqrt { 2 }	5 0
501_em_23	WRONG	2 ^ { 2 }	\phi > 0
37_em_3	WRONG	2 ^ { 2 }	t - 6
RIT_2014_120	WRONG	\sqrt { 2 }	\sqrt { 6 7 }
RIT_2014_122	WRONG	1 0 ^ { 2 }	1 8 z
RIT_2014_1	WRONG	x ^ { 2 } - y ^ { 2 }	k < 1
RIT_2014_299	WRONG	2 ^ { 2 }	8 9 7
37_em_6	WRONG	a ^ { 2 } + b ^ { 2 }	y ^ { \prime } ( x )
34_em_235	WRONG	2 ^ { 2 } - 1	1 - w
28_em_138	WRONG	\frac { 1 } { 3 }	R _ { 0 } ^ { 0 }
RIT_2014_151	WRONG	a ^ { 2 } - b ^ { 2 }	1 5 \pi
500_em_109	WRONG	\frac { 1 } { 1 }	b _ { L }
