Test Year: 2016
Total: 1147, Correct: 373, ExpRate: 32.52%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN_123_em_496	WRONG	\{ h 3	\{ h \}
UN_454_em_695	CORRECT	3 . 8	3 . 8
UN_116_em_331	WRONG	[ a ]	\{ a \}
UN_465_em_965	WRONG	F G	F . G
UN_125_em_558	WRONG	\int ( o	\int L _ { 0 }
UN_454_em_693	CORRECT	\int \sqrt { g }	\int \sqrt { g }
UN_109_em_222	WRONG	\beta 1	B . 1
UN_451_em_617	WRONG	N _ { 0 } n	N . n
UN_108_em_199	WRONG	T + \sqrt { 3 }	+ \sqrt { 3 }
UN_103_em_72	WRONG	c ^ { 2 }	C ^ { 2 }
UN_102_em_49	WRONG	s ^ { 3 }	S ^ { 3 }
UN_465_em_969	WRONG	7 \times 7	7 { \times } 7
UN_131_em_1083	CORRECT	[ e ]	[ e ]
UN_451_em_612	WRONG	T _ { o }	T _ { 0 }
UN_463_em_917	WRONG	\int \sqrt { v }	\int \sqrt { V }
UN_459_em_812	CORRECT	\int d y	\int d y
UN_458_em_776	WRONG	T _ { C }	T _ { c }
UN_119_em_414	CORRECT	M _ { 3 }	M _ { 3 }
UN_456_em_741	CORRECT	- 9 9 9	- 9 9 9
UN_133_em_1133	CORRECT	A . A	A . A
UN_452_em_639	CORRECT	T ^ { n }	T ^ { n }
UN_457_em_758	CORRECT	\sqrt { - g }	\sqrt { - g }
UN_451_em_621	CORRECT	V _ { p }	V _ { p }
UN_456_em_738	CORRECT	8 + 8	8 + 8
UN_109_em_211	CORRECT	w _ { 3 }	w _ { 3 }
UN_129_em_1045	WRONG	V \cdot c	V . C
UN_130_em_1073	WRONG	p _ { m }	P _ { m }
UN_133_em_1128	CORRECT	3 . 1 . 3	3 . 1 . 3
UN_130_em_1050	CORRECT	\sqrt { - h }	\sqrt { - h }
UN_128_em_1013	WRONG	- 9 T 7	- 9 \sqrt { 7 }
UN_122_em_479	WRONG	S ^ { n }	S ^ { m }
UN_453_em_665	CORRECT	\frac { 5 } { 8 }	\frac { 5 } { 8 }
UN_131_em_1080	WRONG	- g g	- 9 9
UN_460_em_847	WRONG	q X 9	9 \times 9
UN_458_em_784	CORRECT	9 + 9	9 + 9
UN_451_em_610	CORRECT	M _ { 5 }	M _ { 5 }
UN_464_em_944	CORRECT	- \sqrt { 3 }	- \sqrt { 3 }
UN_462_em_899	CORRECT	\int d z	\int d z
UN_453_em_650	WRONG	1 = 3	1 \div 3
UN_466_em_998	CORRECT	\pm \sqrt { u }	\pm \sqrt { u }
UN_457_em_767	WRONG	- \log 2	- \log { 2 }
UN_108_em_188	WRONG	0 . 7 7 1	0 . 7 7 7 1
UN_124_em_525	WRONG	\sum \infty 3	\{ \infty \}
UN_130_em_1071	CORRECT	\frac { 9 } { 8 }	\frac { 9 } { 8 }
UN_452_em_643	WRONG	h _ { y _ { y } }	h _ { y y }
UN_111_em_253	CORRECT	\int C _ { 6 }	\int C _ { 6 }
UN_455_em_702	WRONG	\int d _ { k }	\int d k
UN_103_em_69	WRONG	\sqrt { d E }	\int d E
UN_123_em_509	WRONG	\frac { p } { g }	\frac { 7 } { 9 }
UN_116_em_326	WRONG	\int d _ { 1 }	\int d 1
UN_124_em_531	CORRECT	3 . 1 4	3 . 1 4
UN_452_em_644	CORRECT	\frac { 1 } { n }	\frac { 1 } { n }
UN_119_em_405	CORRECT	\int \sqrt { \gamma }	\int \sqrt { \gamma }
UN_462_em_878	CORRECT	h \times h	h \times h
UN_131_em_1089	CORRECT	\int d x	\int d x
UN_104_em_96	WRONG	- \log r	- \log E
UN_104_em_88	WRONG	\sqrt { C _ { i } }	\sqrt { c _ { i } }
UN_123_em_510	WRONG	\int x _ { 8 }	\int X _ { 8 }
UN_114_em_303	WRONG	\int c _ { 4 }	\int C _ { 4 }
UN_457_em_757	WRONG	\int c _ { c }	\int C C
UN_120_em_419	WRONG	\log l	l \log l
UN_129_em_1042	CORRECT	a \neq e	a \neq e
UN_121_em_467	WRONG	0 = 4	0 \div 4
UN_133_em_1116	CORRECT	\pm \sqrt { 3 }	\pm \sqrt { 3 }
UN_104_em_87	WRONG	\int \sqrt { g } ^ { 2 } R ^ { 2 } }	\int \sqrt { g } R ^ { 2 }
UN_128_em_1010	WRONG	h z _ { z }	h _ { z z }
UN_461_em_858	CORRECT	7 \times 7	7 \times 7
UN_108_em_193	WRONG	I ^ { H }	\pm \frac { 1 } { 6 }
UN_133_em_1117	CORRECT	8 \times 8	8 \times 8
UN_466_em_999	WRONG	\frac { 5 } { 8 }	\frac { 9 } { 5 }
UN_122_em_488	WRONG	t ( t ) _ { 3 }	+ x _ { 3 }
UN_466_em_997	WRONG	c _ { x }	C _ { x x }
UN_123_em_507	CORRECT	6 + 6	6 + 6
UN_125_em_557	CORRECT	\sqrt { - 1 }	\sqrt { - 1 }
UN_120_em_434	WRONG	\sqrt { \theta } ^ { a }	\sqrt { \theta } a
UN_130_em_1069	WRONG	p = \sum p	P = \sum p
UN_109_em_219	WRONG	\int _ { d F }	\int d f
UN_131_em_1082	WRONG	\frac { \theta } { 0 }	\frac { 0 } { 0 }
UN_460_em_836	WRONG	o o o	\sigma \sigma \sigma
UN_119_em_413	CORRECT	\frac { 7 } { 6 }	\frac { 7 } { 6 }
UN_453_em_659	CORRECT	\sqrt { - n }	\sqrt { - n }
UN_453_em_670	CORRECT	\frac { 1 } { c }	\frac { 1 } { c }
UN_460_em_831	CORRECT	7 + 7	7 + 7
UN_459_em_807	CORRECT	\int C _ { p }	\int C _ { p }
UN_106_em_125	CORRECT	\int A _ { m }	\int A _ { m }
UN_108_em_181	CORRECT	\sqrt { 3 } ( \sqrt { 2 } )	\sqrt { 3 } ( \sqrt { 2 } )
UN_125_em_551	CORRECT	\sqrt { 8 \pi }	\sqrt { 8 \pi }
UN_466_em_976	WRONG	\sqrt { y } \log y	\sqrt { y } \log { y }
UN_464_em_925	WRONG	n = 8	n \neq 8
UN_120_em_425	CORRECT	x - y	x - y
UN_102_em_29	CORRECT	\int H _ { 3 }	\int H _ { 3 }
UN_105_em_122	WRONG	t ^ { 4 }	T ^ { 4 }
UN_451_em_622	CORRECT	n \geq 9	n \geq 9
UN_462_em_879	WRONG	\frac { 1 } { 3 } i	\frac { 1 } { 3 ! }
UN_127_em_597	WRONG	9 \times 9	9 x 9
UN_455_em_714	CORRECT	\frac { 1 } { \sqrt { l } }	\frac { 1 } { \sqrt { l } }
UN_102_em_35	WRONG	\frac { x } { x }	\frac { l } { x }
UN_133_em_1135	WRONG	\sin k _ { X }	\sin k x
UN_116_em_341	CORRECT	y = y ( x )	y = y ( x )
UN_454_em_688	CORRECT	\sum p _ { i }	\sum p _ { i }
UN_464_em_934	CORRECT	\sin ( t )	\sin ( t )
UN_116_em_333	WRONG	\sqrt { - s _ { c } }	\sqrt { - \Delta c }
UN_461_em_855	WRONG	\sqrt { \beta H }	\sqrt { \beta } H
UN_456_em_729	WRONG	- 9 . 7 8	- 9 . 7 7 8
UN_457_em_769	CORRECT	\sqrt { 1 + y }	\sqrt { 1 + y }
UN_107_em_153	CORRECT	x - y	x - y
UN_129_em_1032	WRONG	( \log _ { y } y / y	( \log y ) / y
UN_116_em_334	WRONG	\lim _ { n \rightarrow \infty } = \infty	\tan \phi = b
UN_123_em_513	CORRECT	A \times A	A \times A
UN_105_em_121	CORRECT	e _ { + 3 }	e _ { + 3 }
UN_112_em_282	WRONG	8 \times 8	8 { \times } 8
UN_459_em_808	WRONG	v \log _ { v }	v \log v
UN_127_em_590	WRONG	\sqrt { \frac { 1 } { 3 }	\sqrt { \frac { 1 } { 3 } }
UN_130_em_1062	WRONG	\int F + o	\int F \neq 0
UN_462_em_895	CORRECT	x \neq y	x \neq y
UN_118_em_386	WRONG	- 0 9 8 8	- 0 . 9 8 8
UN_461_em_857	CORRECT	n \geq 8	n \geq 8
UN_460_em_845	CORRECT	\sqrt { 1 - x }	\sqrt { 1 - x }
UN_118_em_377	CORRECT	a \times a	a \times a
UN_104_em_93	CORRECT	\sqrt { i z }	\sqrt { i z }
UN_123_em_508	WRONG	8 - \alpha p _ { \alpha }	7 _ { \alpha } 7 _ { \alpha }
UN_106_em_131	CORRECT	b \in T	b \in T
UN_105_em_120	CORRECT	y \geq x	y \geq x
UN_125_em_550	WRONG	] _ { p } ( k )	\exists p ( k )
UN_102_em_30	WRONG	T c \cdot c	+ c . c
UN_455_em_701	WRONG	\int f _ { g } = \int g f	\int f g = \int g f
UN_102_em_32	WRONG	( 3 , 1 , 5 )	( 3 . 1 . 5 )
UN_129_em_1035	CORRECT	\tan 2 \theta	\tan 2 \theta
UN_465_em_950	CORRECT	f \times f	f \times f
UN_452_em_631	CORRECT	x \rightarrow y	x \rightarrow y
UN_458_em_798	CORRECT	X \times X	X \times X
UN_121_em_466	CORRECT	x + h	x + h
UN_455_em_706	WRONG	( 2 7 1 )	( 2 . 7 . 1 )
UN_130_em_1054	WRONG	\cos ( \alpha	\cos ( \alpha )
UN_457_em_752	WRONG	S \neq t	s \neq t
UN_108_em_180	CORRECT	x ^ { a } y ^ { a }	x ^ { a } y ^ { a }
UN_451_em_620	WRONG	t ^ { 2 } ( - 2 )	+ 2 ( - 2 )
UN_107_em_159	CORRECT	2 \log b	2 \log b
UN_454_em_698	WRONG	( 1 + a )	( 1 \div a )
