Test Year: 2016
Total: 1147, Correct: 3, ExpRate: 0.26%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN_123_em_496	WRONG	X _ { 3 }	\{ h \}
UN_454_em_695	CORRECT	3 . 8	3 . 8
UN_116_em_331	WRONG	( x ) ^ { x }	\{ a \}
UN_465_em_965	WRONG	v _ { 2 }	F . G
UN_125_em_558	WRONG	f ^ { f }	\int L _ { 0 }
UN_454_em_693	WRONG	( \sqrt { f } )	\int \sqrt { g }
UN_109_em_222	WRONG	\alpha _ { 2 }	B . 1
UN_451_em_617	WRONG	f _ { 1 } , \ldots , u _ { n } )	N . n
UN_108_em_199	WRONG	2 ^ { 3 }	+ \sqrt { 3 }
UN_103_em_72	WRONG	c ^ { 2 }	C ^ { 2 }
UN_102_em_49	WRONG	S _ { 3 }	S ^ { 3 }
UN_465_em_969	WRONG	x _ { 2 }	7 { \times } 7
UN_131_em_1083	WRONG	[ G ]	[ e ]
UN_451_em_612	WRONG	\sqrt { l }	T _ { 0 }
UN_463_em_917	WRONG	\int \sqrt { f }	\int \sqrt { V }
UN_459_em_812	WRONG	f _ { 0 }	\int d y
UN_458_em_776	WRONG	\frac { 1 } { L }	T _ { c }
UN_119_em_414	WRONG	b ^ { 3 }	M _ { 3 }
UN_456_em_741	WRONG	2 . 9	- 9 9 9
UN_133_em_1133	WRONG	( t ) ^ { 2 }	A . A
UN_452_em_639	WRONG	t	T ^ { n }
UN_457_em_758	WRONG	\sqrt { y }	\sqrt { - g }
UN_451_em_621	WRONG	i _ { i }	V _ { p }
UN_456_em_738	WRONG	8 . 8	8 + 8
UN_109_em_211	WRONG	p _ { n }	w _ { 3 }
UN_129_em_1045	WRONG	\theta _ { \theta }	V . C
UN_130_em_1073	WRONG	k _ { n }	P _ { m }
UN_133_em_1128	WRONG	3 . 3	3 . 1 . 3
UN_130_em_1050	WRONG	\sqrt { n }	\sqrt { - h }
UN_128_em_1013	WRONG	2 . 4	- 9 \sqrt { 7 }
UN_122_em_479	WRONG	f _ { f }	S ^ { m }
UN_453_em_665	WRONG	\frac { i } { j }	\frac { 5 } { 8 }
UN_131_em_1080	WRONG	- ( x )	- 9 9
UN_460_em_847	WRONG	9 . 9	9 \times 9
UN_458_em_784	WRONG	9 . 9	9 + 9
UN_451_em_610	WRONG	k _ { k }	M _ { 5 }
UN_464_em_944	WRONG	\sqrt { B }	- \sqrt { 3 }
UN_462_em_899	WRONG	f ^ { f }	\int d z
UN_453_em_650	WRONG	1 + 3	1 \div 3
UN_466_em_998	WRONG	e ^ { - 1 }	\pm \sqrt { u }
UN_457_em_767	WRONG	1 + \pi r ^ { 2 }	- \log { 2 }
UN_108_em_188	WRONG	3 . 3	0 . 7 7 7 1
UN_124_em_525	WRONG	s ^ { 3 }	\{ \infty \}
UN_130_em_1071	WRONG	\frac { y } { g }	\frac { 9 } { 8 }
UN_452_em_643	WRONG	p ^ { p }	h _ { y y }
UN_111_em_253	WRONG	f ^ { f }	\int C _ { 6 }
UN_455_em_702	WRONG	\int e ^ { x }	\int d k
UN_103_em_69	WRONG	f _ { f _ { f } }	\int d E
UN_123_em_509	WRONG	\frac { 1 } { 3 }	\frac { 7 } { 9 }
UN_116_em_326	WRONG	\int e ^ { 2 }	\int d 1
UN_124_em_531	WRONG	2 ^ { 3 }	3 . 1 4
UN_452_em_644	WRONG	\frac { 1 } { 1 }	\frac { 1 } { n }
UN_119_em_405	WRONG	\sqrt { f }	\int \sqrt { \gamma }
UN_462_em_878	WRONG	1 0 ^ { 2 }	h \times h
UN_131_em_1089	WRONG	\int e ^ { x }	\int d x
UN_104_em_96	WRONG	t _ { 1 } = \frac { 1 } { 2 }	- \log E
UN_104_em_88	WRONG	\sqrt { z }	\sqrt { c _ { i } }
UN_123_em_510	WRONG	f ^ { f }	\int X _ { 8 }
