Test Year: 2014
Total: 985, Correct: 222, ExpRate: 22.54%
----------------------------------------
Image	Status	Prediction	GroundTruth
RIT_2014_29	WRONG	- 1	- 7
513_em_320	CORRECT	k N	k N
20_em_42	WRONG	1 1	1 7
507_em_75	WRONG	[ i ]	[ b ]
501_em_3	CORRECT	k _ { e }	k _ { e }
20_em_30	WRONG	I _ { s }	I _ { S }
502_em_0	CORRECT	6 3	6 3
RIT_2014_97	CORRECT	1 2	1 2
508_em_85	WRONG	y . \gamma	9 . 8
509_em_93	WRONG	1 s _ { 1 }	| S |
RIT_2014_45	WRONG	( A )	| A |
29_em_159	CORRECT	1 8	1 8
513_em_313	WRONG	p _ { 1 }	P _ { 1 }
RIT_2014_20	WRONG	[ e ^ { ] }	[ e ]
RIT_2014_57	CORRECT	1 9	1 9
519_em_445	WRONG	N _ { S }	N s
513_em_306	WRONG	R _ { b }	R _ { f }
RIT_2014_249	CORRECT	N - 1	N - 1
20_em_49	WRONG	6 5 t	6 f t
34_em_229	WRONG	\pi _ { t }	1 / t
18_em_10	CORRECT	2 6	2 6
27_em_112	WRONG	3 _ { 3 }	M _ { 3 }
RIT_2014_95	CORRECT	2 0	2 0
RIT_2014_176	WRONG	L _ { 8 2 }	1 8 z
27_em_120	CORRECT	\sqrt { 1 5 }	\sqrt { 1 5 }
32_em_211	WRONG	H _ { a l }	H _ { c l }
511_em_265	WRONG	b R	b _ { R }
RIT_2014_139	WRONG	m _ { 1 }	M _ { 1 }
516_em_386	CORRECT	\{ a \}	\{ a \}
26_em_78	WRONG	1 6 ^ { 9 }	1 6 9
RIT_2014_272	CORRECT	4 0	4 0
RIT_2014_13	CORRECT	[ P ]	[ P ]
512_em_296	CORRECT	k g	k g
511_em_257	WRONG	1 + z	H z
514_em_336	WRONG	d _ { s }	d s
512_em_278	CORRECT	\sqrt { 7 5 }	\sqrt { 7 5 }
32_em_208	WRONG	b _ { \mu }	b _ { u }
RIT_2014_233	CORRECT	A ^ { T }	A ^ { T }
RIT_2014_284	CORRECT	- 3 9	- 3 9
32_em_217	WRONG	\sqrt { ( ) }	\sqrt { - 1 }
517_em_404	WRONG	p _ { a }	P a
RIT_2014_260	CORRECT	\beta \neq 0	\beta \neq 0
27_em_100	CORRECT	\sqrt { 4 5 }	\sqrt { 4 5 }
508_em_80	CORRECT	M _ { 2 }	M _ { 2 }
23_em_52	WRONG	4 p	2 p
27_em_115	WRONG	1 \sqrt { 2 }	7 \sqrt { 2 }
502_em_18	WRONG	\sqrt { g } ^ { 2 } }	9 \sqrt { 2 }
RIT_2014_130	WRONG	8 - 1	8 - 7
515_em_373	WRONG	R A	R _ { 1 }
37_em_9	CORRECT	y < b	y < b
RIT_2014_112	CORRECT	s _ { 1 }	s _ { 1 }
RIT_2014_307	CORRECT	\sqrt { 9 8 }	\sqrt { 9 8 }
517_em_410	WRONG	c ^ { p }	C ^ { \beta }
32_em_203	WRONG	( - 1	l - 1
502_em_12	WRONG	R _ { c }	R _ { L }
28_em_132	WRONG	S _ { v }	S / V
502_em_10	CORRECT	\beta = 1	\beta = 1
RIT_2014_59	CORRECT	F ^ { 3 }	F ^ { 3 }
28_em_147	CORRECT	[ B ]	[ B ]
32_em_223	CORRECT	( \pi )	( \pi )
510_em_105	CORRECT	\frac { 4 } { 3 }	\frac { 4 } { 3 }
31_em_187	WRONG	b _ { o }	5 0
501_em_23	CORRECT	\phi > 0	\phi > 0
37_em_3	CORRECT	t - 6	t - 6
RIT_2014_120	WRONG	\sqrt { 6 1 }	\sqrt { 6 7 }
RIT_2014_122	WRONG	1 8 2	1 8 z
RIT_2014_1	CORRECT	k < 1	k < 1
RIT_2014_299	CORRECT	8 9 7	8 9 7
37_em_6	WRONG	y ^ { ' } ( x )	y ^ { \prime } ( x )
34_em_235	CORRECT	1 - w	1 - w
28_em_138	WRONG	\beta _ { o }	R _ { 0 } ^ { 0 }
RIT_2014_151	WRONG	( s )	1 5 \pi
500_em_109	CORRECT	b _ { L }	b _ { L }
35_em_3	CORRECT	\beta ( F )	\beta ( F )
RIT_2014_155	WRONG	y - 2	y - z
RIT_2014_231	WRONG	3 f 7	3 \sqrt { 7 }
20_em_38	WRONG	y _ { t + 1 }	Y _ { t + 1 }
18_em_19	WRONG	y \neq N	y \neq x
29_em_151	WRONG	p _ { a }	P a
37_em_16	CORRECT	8 \sqrt { 5 }	8 \sqrt { 5 }
27_em_108	WRONG	o + A	0 + A
RIT_2014_9	WRONG	\log <sos> \log <sos> \log <sos> \log	\log
501_em_1	CORRECT	\sqrt { 5 0 }	\sqrt { 5 0 }
501_em_5	CORRECT	\sqrt { 5 0 }	\sqrt { 5 0 }
518_em_433	WRONG	\lim ^ { n }	M ^ { n }
37_em_11	WRONG	w - 2	w ^ { - 2 }
RIT_2014_156	WRONG	- H	- 1
RIT_2014_114	CORRECT	i \neq 1	i \neq 1
RIT_2014_154	WRONG	\frac { 1 } { q }	\frac { 1 } { 9 }
RIT_2014_89	WRONG	r 7 1	r \geq 1
518_em_415	WRONG	( u _ { 1 }	l u _ { 1 }
502_em_9	CORRECT	\beta = 1	\beta = 1
RIT_2014_34	WRONG	B \pm F 8	B F F S
516_em_393	WRONG	N _ { m }	N m
514_em_330	WRONG	R g	k g
511_em_255	WRONG	[ 1 ] ^ { A }	[ A ] A
37_em_15	CORRECT	u \geq 0	u \geq 0
512_em_297	WRONG	a _ { 1 1 z }	a l l z
519_em_463	WRONG	p _ { o }	P _ { 0 }
518_em_436	CORRECT	E ( c )	E ( c )
36_em_38	CORRECT	2 4 \pi	2 4 \pi
37_em_29	WRONG	\sum E _ { x }	\sum F _ { x }
RIT_2014_246	CORRECT	7 5 8 8	7 5 8 8
RIT_2014_131	WRONG	\sqrt { 9 l }	\sqrt { 9 1 }
516_em_383	WRONG	\sqrt { ( y ) }	r ( x )
18_em_16	CORRECT	m \geq 2	m \geq 2
20_em_45	CORRECT	\sqrt { C _ { n } }	\sqrt { C _ { n } }
18_em_1	CORRECT	\sqrt { 4 8 }	\sqrt { 4 8 }
20_em_41	CORRECT	9 / 5	9 / 5
511_em_250	WRONG	r _ { 0 } t	r o t
34_em_226	CORRECT	t - s	t - s
34_em_227	CORRECT	6 5 8 8	6 5 8 8
512_em_289	CORRECT	\frac { 1 } { 8 }	\frac { 1 } { 8 }
RIT_2014_311	CORRECT	\int y d x	\int y d x
RIT_2014_110	WRONG	f ^ { 3 } a	f _ { a } ^ { 7 }
RIT_2014_285	WRONG	m i , 1 j	m i l l i
504_em_44	WRONG	8 1 6	8 _ { 1 6 }
512_em_275	CORRECT	3 m	3 m
35_em_20	CORRECT	\sqrt { 3 8 }	\sqrt { 3 8 }
37_em_25	WRONG	\sqrt { b } ^ { x } }	\sqrt [ x ] { b }
RIT_2014_93	WRONG	Y > z	y > z
23_em_65	CORRECT	f ( n - 1 )	f ( n - 1 )
RIT_2014_36	CORRECT	A + A = A	A + A = A
36_em_37	WRONG	- f ( - x ]	- f ( - x )
512_em_288	CORRECT	2 m	2 m
32_em_212	WRONG	q \sqrt { 2 }	q - \sqrt { 2 }
RIT_2014_250	CORRECT	R _ { r l }	R _ { r l }
RIT_2014_219	WRONG	m + q	m / q
511_em_273	WRONG	y = \beta	x = \beta
517_em_402	WRONG	\frac { A } { q }	\frac { p } { q }
513_em_319	CORRECT	x > A	x > A
23_em_56	CORRECT	9 + 2	9 + 2
RIT_2014_118	CORRECT	a \neq b	a \neq b
37_em_13	WRONG	8 0	8 0 ^ { o }
502_em_2	CORRECT	4 9 2	4 9 2
