Test Year: 2019
Total: 1199, Correct: 366, ExpRate: 30.53%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN19wb_1109_em_1008	WRONG	\sin	s s
UN19_1008_em_112	WRONG	T _ { r }	T r
ISICal19_1203_em_794	CORRECT	6 \sqrt { 3 }	6 \sqrt { 3 }
UN19_1001_em_0	CORRECT	A _ { i }	A _ { i }
UN19_1002_em_16	CORRECT	3 9	3 9
ISICal19_1203_em_793	WRONG	A _ { o 0 }	A _ { o o }
UN19wb_1109_em_1016	WRONG	n + 1	n + n
ISICal19_1210_em_874	WRONG	x 7 a	x + a
UN19_1022_em_300	CORRECT	\frac { 1 } { a }	\frac { 1 } { a }
UN19wb_1121_em_1190	CORRECT	n \geq 9	n \geq 9
ISICal19_1210_em_879	WRONG	| x y !	| x y |
UN19_1046_em_674	CORRECT	E x p	E x p
UN19wb_1109_em_1017	CORRECT	8 \times 7	8 \times 7
UN19_1001_em_6	WRONG	\sum m ^ { L }	\sum m ^ { 2 }
UN19wb_1121_em_1196	CORRECT	8 \times 8	8 \times 8
UN19_1008_em_113	WRONG	x - x	X - X
UN19wb_1107_em_983	WRONG	V _ { i }	B _ { i }
UN19wb_1121_em_1195	WRONG	\beta x ^ { x }	\beta R R
UN19_1008_em_111	WRONG	P x P	p \times p
UN19_1025_em_350	WRONG	x 3 2	x y z
UN19_1045_em_658	WRONG	E E	I I
UN19wb_1110_em_1023	CORRECT	- x - a	- x - a
UN19wb_1121_em_1194	CORRECT	\frac { 1 4 9 } { 8 4 }	\frac { 1 4 9 } { 8 4 }
UN19_1046_em_670	WRONG	x x ^ { 0 }	x \geq 0
UN19wb_1110_em_1030	WRONG	\cos 0	\cos o \sigma
UN19wb_1116_em_1112	CORRECT	\int R ^ { n }	\int R ^ { n }
ISICal19_1201_em_754	CORRECT	\sqrt { x ^ { 2 } }	\sqrt { x ^ { 2 } }
UN19wb_1111_em_1047	WRONG	\frac { 9 S } { 3 3 }	\frac { 9 5 } { 3 3 }
UN19_1023_em_322	CORRECT	a + c	a + c
ISICal19_1210_em_876	CORRECT	\cos k _ { n } x ^ { 5 }	\cos k _ { n } x ^ { 5 }
UN19_1001_em_2	WRONG	x ^ { 5 } - y ^ { b }	x ^ { b } - y ^ { b }
UN19wb_1111_em_1043	CORRECT	\int d c	\int d c
UN19_1019_em_256	WRONG	u n y _ { 8 }	a n y
UN19_1001_em_3	WRONG	\frac { n } { 2 } + \frac { 1 } { a }	\frac { n } { 2 } + \frac { 1 } { 2 }
UN19wb_1106_em_971	WRONG	\frac { 1 } { n 1 }	\frac { 1 } { n ! }
UN19_1028_em_396	WRONG	E R	I R
ISICal19_1210_em_881	WRONG	a = \sqrt { \frac { \beta } { \infty } }	a = \sqrt { \frac { \beta } { \alpha } }
ISICal19_1205_em_812	CORRECT	\cos n \sigma	\cos n \sigma
UN19_1022_em_307	WRONG	2 m	{ 2 } m
UN19wb_1109_em_1006	CORRECT	z = \frac { y } { x }	z = \frac { y } { x }
UN19wb_1105_em_952	CORRECT	x y t	x y t
ISICal19_1210_em_872	CORRECT	\tan x	\tan x
ISICal19_1211_em_894	CORRECT	\frac { 1 } { 5 }	\frac { 1 } { 5 }
UN19_1046_em_665	WRONG	u ^ { 6 } - x ^ { 9 }	x ^ { 6 } - x ^ { 9 }
UN19_1028_em_393	CORRECT	\frac { m } { \sqrt { 2 } }	\frac { m } { \sqrt { 2 } }
UN19wb_1114_em_1084	CORRECT	a \neq 5	a \neq 5
ISICal19_1210_em_878	CORRECT	\pm \frac { \sqrt { 3 } } { 2 }	\pm \frac { \sqrt { 3 } } { 2 }
ISICal19_1209_em_862	CORRECT	\frac { 1 } { n }	\frac { 1 } { n }
UN19_1026_em_372	WRONG	p x x	k \times x
UN19_1018_em_250	WRONG	\cos k x x	\cos k x
ISICal19_1211_em_888	CORRECT	t - t	t - t
UN19_1002_em_15	CORRECT	x ^ { a } x ^ { b }	x ^ { a } x ^ { b }
UN19wb_1119_em_1168	WRONG	h h h	h h
UN19_1008_em_110	WRONG	\lim _ { y \rightarrow y }	\lim y
UN19_1029_em_417	WRONG	x = \sqrt { a }	x \neq a
UN19wb_1113_em_1069	WRONG	o o \theta	\sigma \sigma \sigma \sigma
UN19wb_1120_em_1183	CORRECT	- \frac { 1 } { \sqrt { 3 } }	- \frac { 1 } { \sqrt { 3 } }
ISICal19_1201_em_759	WRONG	\int c 3	\int c _ { 3 }
ISICal19_1210_em_883	CORRECT	\cos ( 2 M t )	\cos ( 2 M t )
UN19wb_1107_em_982	WRONG	4 \sum k a	4 \sum k _ { a }
UN19_1017_em_231	WRONG	n x x	n \times n
UN19_1010_em_146	WRONG	\int + r	\int T r
UN19wb_1117_em_1138	WRONG	\frac { \sqrt { 3 } } { 3 }	\frac { \sqrt { 5 } } { 3 }
UN19wb_1104_em_931	CORRECT	b \neq a	b \neq a
UN19_1022_em_314	WRONG	( 0 )	( 0 0 )
ISICal19_1202_em_779	CORRECT	\frac { 5 } { 8 }	\frac { 5 } { 8 }
ISICal19_1203_em_790	CORRECT	x ^ { 5 } - x ^ { 8 }	x ^ { 5 } - x ^ { 8 }
UN19wb_1108_em_995	WRONG	i \sin x	i u \sin x
